01:13:30.496 -> Humidity: 68.50 %, Temp: 24.50 Celsius
01:16:03.247 -> Humidity: 52.80 %, Temp: 19.20 Celsius
01:16:05.275 -> Humidity: 52.90 %, Temp: 19.20 Celsius
01:16:07.265 -> Humidity: 52.90 %, Temp: 19.20 Celsius
01:16:09.286 -> Humidity: 53.00 %, Temp: 19.10 Celsius
01:16:11.281 -> Humidity: 53.00 %, Temp: 19.10 Celsius
01:16:13.304 -> Humidity: 53.00 %, Temp: 19.10 Celsius
01:16:15.296 -> Humidity: 53.10 %, Temp: 19.10 Celsius
01:16:17.307 -> Humidity: 53.10 %, Temp: 19.10 Celsius
01:16:19.333 -> Humidity: 53.20 %, Temp: 19.10 Celsius
01:16:21.357 -> Humidity: 53.20 %, Temp: 19.00 Celsius
01:16:23.351 -> Humidity: 53.30 %, Temp: 19.00 Celsius
01:16:25.343 -> Humidity: 53.30 %, Temp: 19.00 Celsius
01:16:27.362 -> Humidity: 53.40 %, Temp: 19.00 Celsius
01:16:29.393 -> Humidity: 53.40 %, Temp: 19.00 Celsius
01:16:31.402 -> Humidity: 53.50 %, Temp: 19.00 Celsius
01:16:33.391 -> Humidity: 53.50 %, Temp: 18.90 Celsius
01:16:35.409 -> Humidity: 53.50 %, Temp: 18.90 Celsius
01:16:37.420 -> Humidity: 53.50 %, Temp: 18.90 Celsius
01:16:39.420 -> Humidity: 53.60 %, Temp: 18.90 Celsius
01:16:41.452 -> Humidity: 53.60 %, Temp: 18.90 Celsius
01:16:43.453 -> Humidity: 53.70 %, Temp: 18.90 Celsius
01:16:45.447 -> Humidity: 53.70 %, Temp: 18.90 Celsius
01:16:47.467 -> Humidity: 53.70 %, Temp: 18.90 Celsius
01:16:49.465 -> Humidity: 53.80 %, Temp: 18.90 Celsius
01:16:51.495 -> Humidity: 53.80 %, Temp: 18.80 Celsius
01:16:53.489 -> Humidity: 53.80 %, Temp: 18.80 Celsius
01:16:55.520 -> Humidity: 53.90 %, Temp: 18.80 Celsius
01:16:57.519 -> Humidity: 53.90 %, Temp: 18.80 Celsius
01:16:59.540 -> Humidity: 53.90 %, Temp: 18.80 Celsius
01:17:01.538 -> Humidity: 54.00 %, Temp: 18.80 Celsius
01:17:03.534 -> Humidity: 54.00 %, Temp: 18.80 Celsius
01:17:05.559 -> Humidity: 54.00 %, Temp: 18.80 Celsius
01:17:07.557 -> Humidity: 54.00 %, Temp: 18.70 Celsius
01:17:09.585 -> Humidity: 54.10 %, Temp: 18.70 Celsius
01:17:11.578 -> Humidity: 54.10 %, Temp: 18.70 Celsius
01:17:13.603 -> Humidity: 54.20 %, Temp: 18.70 Celsius
01:17:15.593 -> Humidity: 54.20 %, Temp: 18.70 Celsius
01:17:17.608 -> Humidity: 54.20 %, Temp: 18.70 Celsius
01:17:19.636 -> Humidity: 54.30 %, Temp: 18.70 Celsius
01:17:21.621 -> Humidity: 54.30 %, Temp: 18.70 Celsius
01:17:23.645 -> Humidity: 54.40 %, Temp: 18.70 Celsius
01:17:25.636 -> Humidity: 54.30 %, Temp: 18.60 Celsius
01:17:27.657 -> Humidity: 54.50 %, Temp: 18.70 Celsius
01:17:29.661 -> Humidity: 54.40 %, Temp: 18.60 Celsius
01:17:31.668 -> Humidity: 54.50 %, Temp: 18.60 Celsius
01:17:33.704 -> Humidity: 54.50 %, Temp: 18.60 Celsius
01:17:35.704 -> Humidity: 54.60 %, Temp: 18.60 Celsius
01:17:37.697 -> Humidity: 54.60 %, Temp: 18.60 Celsius
01:17:39.722 -> Humidity: 54.60 %, Temp: 18.60 Celsius
01:17:41.738 -> Humidity: 54.70 %, Temp: 18.60 Celsius
01:17:43.745 -> Humidity: 54.70 %, Temp: 18.60 Celsius
01:17:45.741 -> Humidity: 54.70 %, Temp: 18.60 Celsius
01:17:47.771 -> Humidity: 54.80 %, Temp: 18.60 Celsius
01:17:49.774 -> Humidity: 54.80 %, Temp: 18.60 Celsius
01:17:51.765 -> Humidity: 54.80 %, Temp: 18.60 Celsius
01:17:53.801 -> Humidity: 54.80 %, Temp: 18.60 Celsius
01:17:55.794 -> Humidity: 54.80 %, Temp: 18.50 Celsius
01:17:57.799 -> Humidity: 54.80 %, Temp: 18.50 Celsius
01:17:59.828 -> Humidity: 54.80 %, Temp: 18.50 Celsius
01:18:01.823 -> Humidity: 54.80 %, Temp: 18.50 Celsius
01:18:03.851 -> Humidity: 54.90 %, Temp: 18.50 Celsius
01:18:05.844 -> Humidity: 54.90 %, Temp: 18.50 Celsius
01:18:07.872 -> Humidity: 54.90 %, Temp: 18.50 Celsius
01:18:09.879 -> Humidity: 54.90 %, Temp: 18.50 Celsius
01:18:11.858 -> Humidity: 55.00 %, Temp: 18.50 Celsius
01:18:13.879 -> Humidity: 55.00 %, Temp: 18.50 Celsius
01:18:15.881 -> Humidity: 55.00 %, Temp: 18.50 Celsius
01:18:17.912 -> Humidity: 55.00 %, Temp: 18.50 Celsius
01:18:19.907 -> Humidity: 55.00 %, Temp: 18.50 Celsius
01:18:21.914 -> Humidity: 55.10 %, Temp: 18.50 Celsius
01:18:23.939 -> Humidity: 55.10 %, Temp: 18.50 Celsius
01:18:25.937 -> Humidity: 55.10 %, Temp: 18.50 Celsius
01:18:27.966 -> Humidity: 55.00 %, Temp: 18.40 Celsius
01:18:29.950 -> Humidity: 55.10 %, Temp: 18.50 Celsius
01:18:31.984 -> Humidity: 55.10 %, Temp: 18.50 Celsius
01:18:33.974 -> Humidity: 55.10 %, Temp: 18.40 Celsius
01:18:35.972 -> Humidity: 55.10 %, Temp: 18.40 Celsius
01:18:38.009 -> Humidity: 55.10 %, Temp: 18.40 Celsius
01:18:40.003 -> Humidity: 55.20 %, Temp: 18.50 Celsius
01:18:42.007 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:44.041 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:46.030 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:48.050 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:50.074 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:52.062 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:54.081 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:56.100 -> Humidity: 55.20 %, Temp: 18.40 Celsius
01:18:58.085 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:00.102 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:02.099 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:04.116 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:06.143 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:08.128 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:10.144 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:12.168 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:14.182 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:16.186 -> Humidity: 55.30 %, Temp: 18.30 Celsius
01:19:18.176 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:20.201 -> Humidity: 55.30 %, Temp: 18.40 Celsius
01:19:22.198 -> Humidity: 55.40 %, Temp: 18.40 Celsius
01:19:24.222 -> Humidity: 55.40 %, Temp: 18.40 Celsius
01:19:26.247 -> Humidity: 55.30 %, Temp: 18.30 Celsius
01:19:28.237 -> Humidity: 55.40 %, Temp: 18.30 Celsius
01:19:30.235 -> Humidity: 55.40 %, Temp: 18.40 Celsius
01:19:32.258 -> Humidity: 55.40 %, Temp: 18.30 Celsius
01:19:34.253 -> Humidity: 55.40 %, Temp: 18.30 Celsius
01:19:36.277 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:38.275 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:40.301 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:42.300 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:44.328 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:46.316 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:48.338 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:50.364 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:52.357 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:54.349 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:56.372 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:19:58.403 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:20:00.401 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:20:02.395 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:20:04.419 -> Humidity: 55.50 %, Temp: 18.30 Celsius
01:20:06.441 -> Humidity: 55.50 %, Temp: 18.30 Celsius